ав 0,01 0,004459157522694667
ад 0,003 0,002744977249522371
ае 0,003 0,002210169159481752
аж 0,006 0,001570212572600514
аз 0,007 0,004362368565101885
ак 0,012 0,005890477398948232
ал 0,011 0,009934597895221761
ам 0,003 0,004506391690696065
ан 0,005 0,007639729662380837
ап 0,001 0,0012921476450110405
ар 0,003 0,004092212547230313
ас 0,005 0,005333574003239289
ат 0,01 0,0069022997393693745
ач 0,002 0,001475069497194607
аю 0,001 0,0014895956726301677
ая 0,005 0,00260322895963011
ба 0,002 0,0012104270641598903
бе 0,003 0,002388695566410763
би 0,002 0,001200686718919257
бк 0,001 0,0001476715379381483
бн 0,001 0,00048518823629250515
бо 0,001 0,0036571309409695945
бр 0,003 0,0015694101146675275
бу 0,001 0,001385295419610603
бх 0,001 0,00012534730282948305
бщ 0,001 0,00047552259434293086
бы 0,005 0,003543360238470641
бя 0,001 0,0005252942644567447
ва 0,007 0,008398129522127578
вг 0,001 6,949092916975167E-05
ве 0,006 0,006615745144218607
вз 0,001 0,00044105786954542114
ви 0,009 0,00406602301925525
вн 0,002 0,0020185552179159583
во 0,01 0,008865598619737654
вп 0,002 0,0003158696124323858
вр 0,004 0,0011110620479173705
вс 0,003 0,003194042829912578
ву 0,001 0,0010047062495018978
вш 0,001 0,0007030206232363517
вы 0,006 0,0035934186728307773
вь 0,001 0,0002251966855720936
га 0,001 0,0018492052668692659
ги 0,002 0,0014702402908951938
гк 0,001 0,00013970720319784837
гл 0,002 0,0014478220742268095
го 0,007 0,009851176007161337
гр 0,001 0,0015859532789616756
гу 0,002 0,0007762177995560523
да 0,007 0,0061577127591177635
де 0,006 0,006746786765653636
дл 0,002 0,0011090233710065404
дм 0,001 0,00016633531178493287
дн 0,003 0,0025049362970818215
до 0,004 0,005198652630236368
др 0,002 0,0015105800680669398
ду 0,002 0,0022095064689965534
ды 0,001 0,0009097222198124386
дя 0,002 0,0004468027936062003
еб 0,001 0,0013909367229773327
ев 0,001 0,0025738777955947537
ег 0,005 0,0033947055088308156
ед 0,006 0,004664895205837737
ее 0,003 0,0016907378984813313
еж 0,002 0,0011155105084107422
ез 0,004 0,0018127548803997418
ей 0,004 0,003185133860007922
ел 0,003 0,007486016797001257
ем 0,006 0,005635006602228668
ен 0,012 0,012506552683517648
ер 0,006 0,008767739718234224
ес 0,001 0,006935947547532403
ет 0,011 0,007971489387756502
еф 0,001 0,0002171817453765603
ех 0,002 0,0008588275905491604
еч 0,002 0,001485552055778663
ещ 0,001 0,0008165527571606334
жа 0,002 0,0012790962571279953
жг 0,001 1,2829687793451396E-05
жд 0,001 0,0012249508298118683
же 0,002 0,004388970166069561
жи 0,001 0,0019482449623281423
жк 0,001 0,0001835604448329401
жн 0,002 0,001433741708754019
жь 0,001 4,25808759035098E-05
за 0,009 0,006436262053207327
зб 0,001 0,00021170189750986074
зв 0,001 0,0012940200468546752
зг 0,001 0,00032046747950787514
зл 0,002 0,00034591238435593177
зу 0,002 0,0006338694735517384
зы 0,001 0,0007105849339019497
иб 0,001 0,0006286113257746327
ив 0,006 0,003230987222016523
ид 0,002 0,001881865063763452
ие 0,008 0,0038807010226234724
из 0,007 0,0036023396916533466
ии 0,002 0,0021965370137553147
ий 0,003 0,0023432759654470193
ик 0,003 0,0034651097459783508
ил 0,009 0,005627418193727245
им 0,004 0,004216316401731204
ин 0,006 0,0057466012701525866
ио 0,001 0,0009099656079542753
ир 0,002 0,0020991938059385473
ис 0,001 0,004488501457379276
ит 0,006 0,0062962054313900105
их 0,002 0,0027519897197475674
иц 0,001 0,0011908644410368178
ич 0,007 0,0025563369808974334
иш 0,002 0,0006937911521152175
ищ 0,001 0,0002463738636954691
ия 0,002 0,0034875207332959873
йд 0,001 0,00018631000790062007
йн 0,001 0,0005094716254537767
йс 0,001 0,000933617633816921
йт 0,001 0,0003064931445127165
ка 0,011 0,00904456601706227
ке 0,003 0,0009824278002813008
ки 0,005 0,0049670579692526265
ко 0,014 0,012332725354574593
кр 0,001 0,0022726066521054048
кс 0,002 0,0006495547548905016
кт 0,001 0,001748037732507005
ку 0,003 0,002490682427191088
ла 0,012 0,007133504015412745
ле 0,009 0,007048672403956533
лж 0,001 0,00038158682051187736
ли 0,007 0,009317433041464202
ло 0,006 0,007019518842174945
ль 0,004 0,006794746278513379
ля 0,004 0,002587507531537609
ма 0,003 0,004254610272641372
ми 0,003 0,004614065640731187
мм 0,001 0,0002879040739569907
мн 0,002 0,0016999505011173878
мо 0,004 0,005114433103810123
мп 0,002 0,0004570636521006623
мс 0,001 0,00023390805322298143
му 0,002 0,0025331861900199566
мы 0,002 0,0017451267139392949
мя 0,001 0,0005878040505878734
на 0,005 0,014286695962694853
не 0,008 0,011580036681918477
нё 0,001 2,0543405041167008E-05
ни 0,011 0,012429589015458434
нн 0,007 0,004571954672626274
но 0,015 0,015509692458021281
нс 0,001 0,0012557719618325753
нт 0,002 0,0019442543607154535
ну 0,002 0,002787948510366253
ны 0,005 0,006540290000682065
нь 0,001 0,0012943983828771343
ня 0,001 0,0018527934346236703
оа 0,001 5,514307771929908E-05
об 0,007 0,005353112528526536
ов 0,009 0,01181260971503673
ог 0,009 0,0066830817268655664
од 0,009 0,007448424173113609
ое 0,003 0,002796657468233558
ож 0,001 0,0026073858363099946
оз 0,001 0,0020253194804321526
ои 0,002 0,0012428458826958223
ой 0,005 0,0058603406454649665
ок 0,002 0,002926101403153362
ол 0,008 0,008133364190130152
ом 0,003 0,007733140103390897
он 0,007 0,007091070136307769
оп 0,004 0,002223102467969253
ор 0,013 0,00822947599853624
ос 0,009 0,009557314948188303
от 0,011 0,008459791064437651
оф 0,001 0,00037597443454813804
ох 0,001 0,0007020567098033351
оц 0,001 0,00043105485789429103
оч 0,003 0,002366896664123092
оя 0,005 0,0009273136399649922
пе 0,004 0,0033767285233050554
пл 0,003 0,0012921645134961182
по 0,015 0,012561553584005576
пп 0,001 0,00018593649144532613
пр 0,012 0,010071112135172743
пс 0,001 0,00012547984092652284
пы 0,001 0,0004228664132808147
ра 0,013 0,012164638130125152
рг 0,002 0,0006309584549840281
рд 0,001 0,00038172658795966477
ре 0,012 0,009614395491907965
рж 0,002 0,000464461687699065
ри 0,009 0,006796382521565924
рн 0,001 0,0013753261449296283
ро 0,007 0,01136058251062358
рт 0,002 0,0011667159997561685
ры 0,002 0,001996809330867103
рь 0,002 0,0006352069034400489
са 0,001 0,0024186202589387643
св 0,004 0,0018164996840870115
сд 0,001 0,0002652159615273617
се 0,005 0,004553300537913819
си 0,004 0,0027717451255572434
ск 0,01 0,006233695645258882
