аб 0,002 0,0015574045728593054
ав 0,006 0,004459157522694667
ад 0,005 0,002744977249522371
аз 0,007 0,004362368565101885
ай 0,001 0,0009226796261357647
ак 0,003 0,005890477398948232
ал 0,01 0,009934597895221761
ам 0,004 0,004506391690696065
ан 0,008 0,007639729662380837
ас 0,005 0,005333574003239289
ат 0,004 0,0069022997393693745
аф 0,002 0,0002573576572646936
ах 0,001 0,0014269172016482612
ац 0,005 0,0009551900164478333
ач 0,001 0,001475069497194607
аю 0,001 0,0014895956726301677
ая 0,003 0,00260322895963011
бе 0,003 0,002388695566410763
би 0,002 0,001200686718919257
бл 0,001 0,0012448893791738175
бн 0,001 0,00048518823629250515
бо 0,005 0,0036571309409695945
бр 0,002 0,0015694101146675275
бу 0,002 0,001385295419610603
бщ 0,001 0,00047552259434293086
бы 0,002 0,003543360238470641
бя 0,001 0,0005252942644567447
ва 0,008 0,008398129522127578
вг 0,001 6,949092916975167E-05
ве 0,006 0,006615745144218607
ви 0,006 0,00406602301925525
вк 0,001 0,000521886830471031
вл 0,001 0,0016656930177079766
вн 0,001 0,0020185552179159583
во 0,011 0,008865598619737654
вр 0,001 0,0011110620479173705
вс 0,005 0,003194042829912578
вт 0,002 0,0005151876321115653
ву 0,002 0,0010047062495018978
вы 0,002 0,0035934186728307773
гг 0,001 1,9856616720142658E-05
ге 0,002 0,0007925754105143446
ги 0,003 0,0014702402908951938
гл 0,002 0,0014478220742268095
го 0,011 0,009851176007161337
гу 0,001 0,0007762177995560523
да 0,003 0,0061577127591177635
де 0,006 0,006746786765653636
ди 0,004 0,003586302581911532
дн 0,002 0,0025049362970818215
до 0,005 0,005198652630236368
др 0,002 0,0015105800680669398
дт 0,001 0,0001628604038589079
ду 0,005 0,0022095064689965534
дя 0,001 0,0004468027936062003
ев 0,005 0,0025738777955947537
ег 0,004 0,0033947055088308156
ед 0,004 0,004664895205837737
ее 0,003 0,0016907378984813313
еж 0,002 0,0011155105084107422
ез 0,003 0,0018127548803997418
ей 0,002 0,003185133860007922
ек 0,004 0,0023930307670757553
ел 0,016 0,007486016797001257
ем 0,004 0,005635006602228668
ен 0,01 0,012506552683517648
еп 0,002 0,0011749598693920433
ер 0,01 0,008767739718234224
ес 0,006 0,006935947547532403
ет 0,009 0,007971489387756502
ех 0,001 0,0008588275905491604
ец 0,002 0,000500796404556627
еш 0,002 0,0010467834806366563
ещ 0,001 0,0008165527571606334
жа 0,002 0,0012790962571279953
жд 0,001 0,0012249508298118683
же 0,002 0,004388970166069561
жн 0,003 0,001433741708754019
за 0,008 0,006436262053207327
зв 0,001 0,0012940200468546752
зд 0,001 0,0011595107468443692
зи 0,002 0,0009222217672550818
зм 0,002 0,0006896776515398189
зн 0,003 0,0022237314214842963
зо 0,001 0,0011203975495161366
зр 0,003 0,0005046279604528682
зс 0,001 3,544068714843908E-05
зт 0,001 1,6123861950785742E-05
зу 0,001 0,0006338694735517384
зы 0,002 0,0007105849339019497
иа 0,003 0,0006738188657831128
ив 0,001 0,003230987222016523
ид 0,001 0,001881865063763452
ие 0,007 0,0038807010226234724
из 0,002 0,0036023396916533466
ии 0,003 0,0021965370137553147
ий 0,003 0,0023432759654470193
ик 0,002 0,0034651097459783508
ил 0,005 0,005627418193727245
им 0,002 0,004216316401731204
ин 0,007 0,0057466012701525866
ир 0,001 0,0020991938059385473
ис 0,005 0,004488501457379276
ит 0,008 0,0062962054313900105
их 0,002 0,0027519897197475674
иц 0,001 0,0011908644410368178
ич 0,002 0,0025563369808974334
ищ 0,001 0,0002463738636954691
ию 0,001 0,0007757623504589519
ия 0,003 0,0034875207332959873
йк 0,001 0,00016599312251621196
йн 0,001 0,0005094716254537767
йс 0,001 0,000933617633816921
йч 0,001 0,000219569840906859
ка 0,009 0,00904456601706227
кв 0,001 0,0004451255842327513
ке 0,001 0,0009824278002813008
ки 0,004 0,0049670579692526265
кн 0,001 0,00045462977068229534
ко 0,011 0,012332725354574593
кр 0,004 0,0022726066521054048
кс 0,002 0,0006495547548905016
кт 0,003 0,001748037732507005
ку 0,002 0,002490682427191088
кц 0,002 0,00027256580145411353
ла 0,009 0,007133504015412745
ле 0,005 0,007048672403956533
лж 0,001 0,00038158682051187736
ли 0,003 0,009317433041464202
лк 0,001 0,0004809036410827462
ло 0,011 0,007019518842174945
лс 0,004 0,001237773288254572
лу 0,001 0,0017574985428520633
лч 0,001 0,00011389601124524545
лы 0,001 0,0007698704295996377
ль 0,004 0,006794746278513379
лю 0,001 0,0014431181766736882
ля 0,002 0,002587507531537609
ма 0,005 0,004254610272641372
ме 0,006 0,005653817372873988
ми 0,005 0,004614065640731187
мк 0,001 0,00017626843971216928
мн 0,002 0,0016999505011173878
мо 0,004 0,005114433103810123
мф 0,001 2,7302847990196153E-05
мы 0,003 0,0017451267139392949
мя 0,002 0,0005878040505878734
на 0,013 0,014286695962694853
не 0,008 0,011580036681918477
нж 0,001 3,820470891761428E-05
нз 0,001 7,000662285641557E-05
ни 0,016 0,012429589015458434
нн 0,003 0,004571954672626274
но 0,016 0,015509692458021281
нт 0,005 0,0019442543607154535
ну 0,003 0,002787948510366253
нф 0,001 0,00019269111482719017
ны 0,006 0,006540290000682065
нь 0,001 0,0012943983828771343
ню 0,002 0,0001944261590066201
ня 0,003 0,0018527934346236703
об 0,003 0,005353112528526536
ов 0,013 0,01181260971503673
ог 0,005 0,0066830817268655664
од 0,006 0,007448424173113609
ое 0,005 0,002796657468233558
ож 0,003 0,0026073858363099946
оз 0,003 0,0020253194804321526
ои 0,001 0,0012428458826958223
ой 0,005 0,0058603406454649665
ок 0,003 0,002926101403153362
ол 0,008 0,008133364190130152
ом 0,008 0,007733140103390897
он 0,011 0,007091070136307769
оп 0,001 0,002223102467969253
ор 0,013 0,00822947599853624
ос 0,015 0,009557314948188303
от 0,008 0,008459791064437651
оф 0,001 0,00037597443454813804
ох 0,001 0,0007020567098033351
оч 0,003 0,002366896664123092
ош 0,002 0,0010451520571512756
ощ 0,001 0,0003473028294830582
па 0,002 0,00231679485365847
пе 0,004 0,0033767285233050554
пл 0,002 0,0012921645134961182
по 0,008 0,012561553584005576
пр 0,007 0,010071112135172743
пт 0,001 0,0001461702427662249
пу 0,001 0,0010408023977847881
пя 0,001 0,00030115306409380434
ра 0,016 0,012164638130125152
ре 0,012 0,009614395491907965
рж 0,001 0,000464461687699065
ри 0,007 0,006796382521565924
рк 0,001 0,00056051325151559
рл 0,001 0,00013533585577911792
рм 0,001 0,0008053617222033103
рн 0,002 0,0013753261449296283
ро 0,011 0,01136058251062358
рс 0,001 0,000757684154022725
рт 0,001 0,0011667159997561685
ру 0,005 0,0038161429204471835
рх 0,001 0,0002419085347170195
ры 0,001 0,001996809330867103
ря 0,004 0,001263810999863934
са 0,003 0,0024186202589387643
се 0,004 0,004553300537913819
си 0,002 0,0027717451255572434
ск 0,009 0,006233695645258882
сл 0,002 0,003622258962746635
см 0,001 0,0010198204121315987
сн 0,002 0,001483648326748455
со 0,003 0,0046149331628209025
сп 0,002 0,00260263133330164
ср 0,001 0,000613333297861319
сс 0,002 0,0019085028114848666
ст 0,023 0,01728708135456364
сь 0,001 0,002959286532868542
ся 0,004 0,004823591503666014
та 0,013 0,008762033350710765
тв 0,003 0,00413973106969445
тд 0,001 0,0002134682688758637
те 0,012 0,007924578130755165
ти 0,004 0,0064777175601777905
тк 0,001 0,0009676895638904765
тн 0,001 0,001979613115222086
то 0,019 0,01618938396639505
тр 0,004 0,00486105881880737
тс 0,003 0,0025115318747472378
ту 0,002 0,002122838602450445
ты 0,001 0,002063969999312537
ть 0,003 0,007317124704835248
уа 0,001 0,0002305030290208502
ув 0,001 0,0006365322844104468
уд 0,002 0,002431437897814303
уе 0,001 0,0004461810694419045
уж 0,001 0,001688904053175017
уз 0,002 0,0004733345108499831
ук 0,001 0,0011058328175432553
ун 0,001 0,0005779552650860259
уп 0,001 0,0010913692964808408
ус 0,001 0,0019190311559569909
ут 0,005 0,0019896836008135273
уц 0,001 3,9759019328353605E-05
уч 0,001 0,001531995814764987
ую 0,002 0,0016690932223429426
фе 0,001 0,0005943538423652215
фи 0,001 0,0007420157411690396
фы 0,001 2,0167478802290522E-05
хи 0,001 0,00036289412926210227
хо 0,002 0,0027458544107464163
хр 0,001 0,00031184768363312393
ца 0,001 0,0007237592207477045
це 0,001 0,0014989600916319244
ци 0,004 0,0022999793838194946
цо 0,001 0,0002247026799376726
ча 0,002 0,0027104498703517154
че 0,004 0,005466777200547858
чи 0,003 0,002523889244958511
чт 0,005 0,0032064194783925117
